source_id,file_name,relative_path,file_type,size_bytes,modified_utc,sha256,status,review_status,owner,notes
SRC-0001,01_business_problem.md,documents\01-raw-source-documents\01_business_problem.md,md,812,2026-07-16T05:56:58+00:00,4cb058a6b82bd27753dae2b760e73410412fe745f493a5259bf2537cb1c026dd,Source,Not reviewed,,
SRC-0002,02_stakeholder_notes.md,documents\01-raw-source-documents\02_stakeholder_notes.md,md,518,2026-07-16T05:56:58+00:00,96a5ff32432a7f859e11027f18253392e3aefd6cfb2f94c68c850e21c08e3dd3,Source,Not reviewed,,
